Date,netDailyChange,Portfolio Value
2012-05-04,-0.01003124826574322,151378.5633417488
2012-05-07,0.0026649356145486388,151781.97746647746
2012-05-08,0.0035795640620814827,152325.29077828812
2012-05-09,-0.004426563411136324,151651.01321953826
2012-05-10,0.00424547318227713,152294.84352922696
2012-05-11,-0.00170429104159382,152035.28879171915
2012-05-14,-0.00333527311677927,151528.20958021036
2012-05-15,-0.003808466994003985,150951.1193953636
2012-05-16,-0.0009386445808171689,150809.42994517487
2012-05-17,-0.005487396279778415,149981.8788403382
2012-05-18,-0.006564224766944287,148997.36407666162
2012-05-21,0.005520448847638077,149819.89640347974
2012-05-22,-0.0008158057971840831,149697.67246346027
2012-05-23,-0.0021284328525474623,149379.05101943915
2012-05-24,0.004237882355187119,150012.10186398902
2012-05-25,-0.0047342380851081904,149301.9088581174
2012-05-29,0.0027120326950893013,149706.82051637984
2012-05-30,-0.007610787160340982,148567.4337689783
2012-05-31,-0.003851811883966904,147995.1799620165
2012-06-01,-0.012891660093587118,146087.27640645692
2012-06-04,0.005741587824028119,146926.04933391768
2012-06-05,-0.0016407312716148472,146684.9831701607
2012-06-06,0.00959441353526361,148092.33955810842
2012-06-07,-0.00037713391668301973,148036.48891406012
2012-06-08,0.005338114878649811,148826.72469811534
2012-06-11,-0.00891077445969583,147500.5633207552
2012-06-12,0.007753400314883346,148644.1942348518
2012-06-13,0.01159281448899937,150367.39880348323
2012-06-14,0.01191626572804948,152159.21668446113
2012-06-15,0.006479286106965007,153145.09978317143
2012-06-18,0.004882771497324717,153892.87231134766
2012-06-19,0.004788819557820694,154629.83750808143
2012-06-20,0.00034917800017880094,154683.83084551047
2012-06-21,-0.011233350480162219,152946.21316000872
2012-06-22,0.0037841014079569735,153524.9771405692
2012-06-25,-0.006957407184921344,152456.8413615465
2012-06-26,0.0017279052074182493,152720.27233164167
2012-06-27,0.003943934711080385,153322.59111477606
2012-06-28,0.0018026985551672934,153598.98552825316
2012-06-29,0.014881058240880153,155884.7009776392
2012-07-02,0.005067974099910032,156674.7206047661
2012-07-03,0.0034311978709470644,157212.3025725364
2012-07-05,-0.0012423511768756442,157016.9896834161
2012-07-06,-0.00413536193675952,156367.66760085474
2012-07-09,-0.0006432409857440326,156267.08550820866
2012-07-10,0.0014744027674846486,156497.48613154874
2012-07-11,0.00122079279742467,156688.5371354332
2012-07-12,-0.0038010630814518985,156092.954121641
2012-07-13,0.010773068311775196,157774.55417938024
2012-07-16,-0.008783306176809561,156388.7719631131
2012-07-17,0.0038001147093589156,156983.0672358287
2012-07-18,0.0016587608288520116,157243.46459855253
2012-07-19,0.004388776575593072,157933.57103264774
2012-07-20,-0.009641593017226415,156410.83981699374
2012-07-23,-0.008127312386458634,155139.6400611727
2012-07-24,-0.009923815433819852,153600.06290673636
2012-07-25,-0.0031341890873252364,153118.6512657616
2012-07-26,0.013599111010597971,155200.92880211773
2012-07-27,0.012263483005242768,157104.2327548804
2012-07-30,0.0021232780344424772,157437.80872140676
2012-07-31,0.0009205752431537539,157582.74207045208
2012-08-01,0.00030752266154953376,157631.20233470786
2012-08-02,0.0029115818383737687,158090.15848058663
2012-08-03,0.012295264653286321,160033.91881818543
2012-08-06,-0.003910511418936978,159408.10435122967
2012-08-07,-0.002330836695478028,159036.55009205124
2012-08-08,0.0029872077995083185,159511.6253148931
2012-08-09,0.0006160454403694854,159609.89172435427
2012-08-10,0.004677871066645543,160356.52621880206
2012-08-13,-0.0012314235100050826,160159.05942243346
2012-08-14,0.002924232834633331,160627.40180276055
2012-08-15,-0.0012285780287324788,160430.05850609328
2012-08-16,-4.327421030276965e-05,160423.1160220026
2012-08-17,-0.0024044508770708775,160037.38651998105
2012-08-20,0.0033895507626594615,160579.8413655139
2012-08-21,-4.532338267590781e-05,160572.56334391364
2012-08-22,-0.00014933607164161055,160548.58406809045
2012-08-23,-9.814312144615974e-05,160532.82732890625
2012-08-24,0.005096894384669736,161351.0461950741
2012-08-27,0.0013242784158074214,161564.71990291818
2012-08-28,-0.00021495619932645647,161529.9905647826
2012-08-29,-0.0024500281178261,161134.2375460267
2012-08-30,-0.006144972376830854,160144.07210734466
2012-08-31,0.002926409561099152,160612.71925111295
2012-09-04,0.000555731230998254,160701.97675529635
2012-09-05,-0.0035644024807705583,160129.17023068503
2012-09-06,0.008706382987438989,161523.3161141742
2012-09-07,-0.0016948128158211493,161249.56432796997
2012-09-10,-0.0018400824730884543,160952.85183085693
2012-09-11,-0.0002183777495602432,160917.7033092888
2012-09-12,-0.0005433637145081265,160830.26646828855
2012-09-13,0.01242020021922119,162827.8105791354
2012-09-14,-0.009023863450842681,161358.4746504696
2012-09-17,0.0009599064001800744,161513.3636830099
2012-09-18,0.00312005831416323,162017.29479621755
2012-09-19,0.00500738586053119,162828.57790734165
2012-09-20,0.004705182927334206,163594.71615219337
2012-09-21,0.0014089342033704784,163825.21034327088
2012-09-24,0.0011055413402379492,164006.32588587856
2012-09-25,-0.0005353464591260948,163918.52568004126
2012-09-26,-0.0040310716687573245,163257.75835518798
2012-09-27,0.0022772721873539673,163629.54070766
2012-09-28,-0.002524647936531481,163216.4337253568
2012-10-01,0.004125833424033064,163889.83754297235
2012-10-02,-0.0011094599397410195,163708.00833368776
2012-10-03,0.0018509898406037836,164011.0301939389
2012-10-04,0.002519211514220053,164424.20866966256
2012-10-05,0.002216656624017455,164788.680680959
2012-10-08,-0.001975781420365314,164463.09426738304
2012-10-09,-0.010955567047729027,162661.30781125976
2012-10-10,-0.00291776071302553,162186.70103779872
2012-10-11,-0.0016612848235248777,161917.26273278706
2012-10-12,-0.0010039742262811478,161754.70197421336
2012-10-15,0.006361486486993173,162783.7023250299
2012-10-16,0.010869839651713882,164553.1350672153
2012-10-17,0.013833769714227574,166829.52524348936
2012-10-18,0.0050110934179898375,167665.5235793634
2012-10-19,-0.01127637456104857,165774.86433450817
2012-10-22,0.001763471421145512,166067.20357010636
2012-10-23,-0.011317266128141521,164187.7768321472
2012-10-24,-0.0007238750735708578,164068.9253931134
2012-10-25,0.006748344966734329,165176.11909998753
2012-10-26,-0.0004566247770548767,165100.6955914287
2012-10-31,-0.00354102620430776,164516.06970199
2012-11-01,0.012593768944495463,166587.94707147338
2012-11-02,-0.005316367201158545,165702.30437355425
2012-11-05,0.00029718632851285224,165751.54883301715
2012-11-06,0.006113840014266803,166764.92728469914
2012-11-07,-0.009767352234368898,165136.07549957055
2012-11-08,-0.009463775837346408,163573.26469838351
2012-11-09,0.0025537792913938036,163990.99471439593
